decade	authgender	L2	accuracy
1980	m	0.0001	0.67
1820	m	0.001	0.765625
1800	m	0.001	0.7625
1860	f	0.001	0.7498436522826767
1960	m	0.0001	0.7075
1860	m	0.0001	0.75875
1900	f	3e-05	0.710625
1940	f	3e-05	0.68875
1840	m	3e-05	0.75375
1880	m	0.001	0.740625
1860	m	0.0001	0.758125
1820	f	0.0001	0.72125
1880	m	0.0001	0.74125
1920	m	0.0003	0.713125
1840	f	0.001	0.72125
1800	f	0.001	0.755
1920	f	0.0001	0.71
1860	f	0.0003	0.718397997496871
1960	m	0.0003	0.71625
1920	f	0.0003	0.700625
1980	f	3e-05	0.669375
1820	m	3e-05	0.75875
1980	f	0.0001	0.66125
1940	f	0.001	0.68875
1980	m	0.0001	0.686875
1860	m	0.001	0.7575
1940	f	3e-05	0.6925
1820	m	0.0001	0.755625
1800	f	0.0001	0.74875
1960	m	3e-05	0.710625
1920	f	3e-05	0.678125
1920	f	0.0003	0.70125
1800	f	3e-05	0.74875
1840	f	0.001	0.729375
1900	f	0.0003	0.69
1840	f	3e-05	0.729375
1820	f	3e-05	0.7175
1960	m	0.0003	0.718125
1800	f	0.0003	0.746875
1860	f	0.001	0.7359198998748435
1880	m	3e-05	0.75875
1900	m	3e-05	0.729375
1920	m	3e-05	0.71125
1900	m	3e-05	0.735
1820	m	0.0003	0.753125
1980	f	0.0001	0.64375
1940	f	0.0001	0.695
1980	m	0.0001	0.68375
1940	m	0.0003	0.71875
1900	f	0.0003	0.725
1880	m	0.0001	0.738125
1960	f	0.0001	0.675625
1840	m	3e-05	0.73625
1800	m	0.0003	0.75625
1880	f	0.0001	0.738125
1840	f	0.0001	0.709375
1940	m	0.0001	0.719375
1860	f	0.0001	0.7323327079424641
1960	f	3e-05	0.699375
1800	m	3e-05	0.75625
1840	m	0.0001	0.75125
1900	m	0.0003	0.750625
1840	m	0.0003	0.74125
1800	m	0.0003	0.759375
1920	m	3e-05	0.7175
1900	f	3e-05	0.708125
1900	f	0.0003	0.708125
1820	f	0.001	0.714375
1860	m	0.0003	0.766875
1900	m	0.0003	0.7425
1980	m	0.0003	0.673125
1800	m	0.0003	0.756875
1940	m	0.0001	0.70875
1960	f	0.001	0.673125
1880	f	0.0003	0.71625
1980	m	0.0001	0.68
1920	m	3e-05	0.714375
1880	f	0.0001	0.73125
1860	m	3e-05	0.75375
1960	f	3e-05	0.675625
1820	f	3e-05	0.723125
1920	f	3e-05	0.7025
1820	m	3e-05	0.7825
1880	f	3e-05	0.72375
1840	f	0.001	0.72125
1940	m	0.0001	0.700625
1980	f	0.0003	0.655625
1900	m	0.0001	0.75
1940	f	3e-05	0.7
1920	m	0.0001	0.71875
1960	m	0.0003	0.70375
1960	f	0.0003	0.67625
1880	f	0.001	0.721875
1880	m	3e-05	0.744375
1840	m	3e-05	0.74
1800	f	0.0001	0.74125
1860	f	0.0001	0.7317073170731707
1940	m	0.001	0.718125
1980	f	3e-05	0.6575
1820	f	0.0003	0.735
