decade	L2	accuracy
1890	0.0003	0.73625
1970	3e-05	0.69125
1900	0.0003	0.75
1880	0.001	0.73125
2000	3e-05	0.654375
1790	3e-05	0.72375
1980	0.0003	0.669375
1850	0.0001	0.736875
1790	0.0003	0.731875
1800	0.001	0.765
1990	0.001	0.649375
1820	0.0003	0.75375
1940	0.0001	0.698125
1930	3e-05	0.725625
1890	3e-05	0.745625
1890	3e-05	0.74125
1980	3e-05	0.64875
1840	0.0001	0.7467166979362101
1820	0.0001	0.7475
2000	0.001	0.661875
1990	0.001	0.646875
1900	3e-05	0.7359198998748435
1870	0.0003	0.73625
1860	0.001	0.745
1920	0.001	0.73375
1980	0.0001	0.685
1850	0.0003	0.7325
1890	0.0001	0.74125
1870	0.0003	0.7425
1790	0.001	0.72625
2000	0.0001	0.658125
1810	3e-05	0.714375
1940	0.0003	0.711875
1850	0.0003	0.745625
1920	0.001	0.713125
1870	0.0001	0.7133917396745932
1950	3e-05	0.72125
1940	3e-05	0.718125
1830	0.0003	0.7360850531582239
1950	0.0001	0.7
1810	3e-05	0.7375
1890	0.001	0.736875
1840	0.0001	0.773125
2000	3e-05	0.63125
1940	0.0003	0.708125
1820	0.001	0.739375
1980	3e-05	0.66625
1890	0.0001	0.740625
1830	0.0001	0.7498436522826767
1810	0.0001	0.726875
1790	3e-05	0.72125
1910	0.001	0.734375
1950	0.001	0.7075
1970	3e-05	0.6775
1820	3e-05	0.755
1830	3e-05	0.7523452157598499
1820	3e-05	0.75125
1820	3e-05	0.7425
1970	0.001	0.693125
1820	0.0003	0.7525
1980	3e-05	0.68125
1800	3e-05	0.750625
1920	3e-05	0.729375
1970	0.0001	0.685625
1910	0.001	0.724375
1850	0.0001	0.724375
1800	3e-05	0.759375
1910	0.0003	0.725
1850	0.0001	0.7475
1820	0.0001	0.749375
1950	3e-05	0.7075
1810	0.0003	0.715
2000	3e-05	0.66625
1940	3e-05	0.71125
2000	0.001	0.6475
1810	0.0003	0.7325
1910	3e-05	0.733125
1910	0.001	0.7075
1910	0.0001	0.718125
1940	3e-05	0.713125
1920	3e-05	0.711875
2000	0.001	0.635625
1920	0.001	0.7175
1820	0.0001	0.745625
1810	3e-05	0.749375
1990	0.0003	0.65125
1910	3e-05	0.7225
1870	0.0003	0.7385866166353972
1910	0.0001	0.72375
