year,genre,fraction
1800,other,0.059782608695652176
1801,other,0.036414565826330535
1802,other,0.01779935275080906
1803,other,0.04456824512534819
1804,other,0.027950310559006212
1805,other,0.041791044776119404
1806,other,0.051224944320712694
1807,other,0.021136063408190225
1808,other,0.043580683156654886
1809,other,0.02906208718626156
1810,other,0.06514285714285714
1811,other,0.06923076923076923
1812,other,0.017418032786885244
1813,other,0.0465444287729196
1814,other,0.043859649122807015
1815,other,0.0398936170212766
1816,other,0.05102040816326531
1817,other,0.032467532467532464
1818,other,0.07267441860465117
1819,other,0.04693486590038314
1820,other,0.019559902200488997
1821,other,0.032467532467532464
1822,other,0.02588235294117647
1823,other,0.036490683229813664
1824,other,0.016356877323420074
1825,other,0.011432414256893073
1826,other,0.03765323992994746
1827,other,0.026405451448040886
1828,other,0.024114544084400905
1829,other,0.021861777150916785
1830,other,0.03418272218769422
1831,other,0.022587268993839837
1832,other,0.046831955922865015
1833,other,0.052102950408035156
1834,other,0.032486709982279975
1835,other,0.037920489296636085
1836,other,0.05865764241398759
1837,other,0.04419191919191919
1838,other,0.056200366524129505
1839,other,0.040488075429839156
1840,other,0.036335721596724664
1841,other,0.03877221324717286
1842,other,0.06787048567870485
1843,other,0.04744525547445255
1844,other,0.08215725806451613
1845,other,0.04988913525498891
1846,other,0.04945992040932348
1847,other,0.04081632653061224
1848,other,0.03709508881922675
1849,other,0.025142857142857144
1850,other,0.05378391242265588
1851,other,0.03602305475504323
1852,other,0.051443569553805774
1853,other,0.045563549160671464
1854,other,0.05746606334841629
1855,other,0.07337095946639302
1856,other,0.04267487901451826
1857,other,0.043099273607748186
1858,other,0.05308310991957105
1859,other,0.04691358024691358
1860,other,0.052395879982086876
1861,other,0.03130434782608696
1862,other,0.05245901639344262
1863,other,0.06042998256827426
1864,other,0.04924623115577889
1865,other,0.048827190043082815
1866,other,0.05674709562109026
1867,other,0.053973013493253376
1868,other,0.06243705941591138
1869,other,0.052083333333333336
1870,other,0.053842813721233174
1871,other,0.06552567237163814
1872,other,0.05662862159789289
1873,other,0.06541176470588235
1874,other,0.06489041684572411
1875,other,0.03944692964619764
1876,other,0.05110255512775639
1877,other,0.05533596837944664
1878,other,0.049586776859504134
1879,other,0.06212664277180406
1880,other,0.06059735784032166
1881,other,0.06602521566025216
1882,other,0.06641310708016383
1883,other,0.06257142857142857
1884,other,0.05751824817518248
1885,other,0.06783625730994151
1886,other,0.07694549693966773
1887,other,0.08287866978435958
1888,other,0.06905178884163123
1889,other,0.08768320905116997
1890,other,0.08177777777777778
1891,other,0.06986117330944917
1892,other,0.07974182802415157
1893,other,0.08302860830286082
1894,other,0.07956560283687943
1895,other,0.0819602872834812
1896,other,0.07152709359605912
1897,other,0.08411401235798285
1898,other,0.08216503992901508
1899,other,0.07622560319655755
1900,other,0.08652088056754187
1901,other,0.10396112501840671
1902,other,0.09430024781531238
1903,other,0.12070938215102975
1904,other,0.10737197523916714
1905,other,0.10045715625366311
1906,other,0.1082072443833104
1907,other,0.11579872555482311
1908,other,0.11287128712871287
1909,other,0.11577836411609499
1910,other,0.1300290960168556
1911,other,0.12790228144558854
1912,other,0.1337013473053892
1913,other,0.124610002836343
1914,other,0.146840328027014
1915,other,0.13258897418004187
1916,other,0.14873193897140546
1917,other,0.1413764510779436
1918,other,0.14592127780946948
1919,other,0.12465016146393972
1920,other,0.1341975534051488
1921,other,0.1320812493620496
1922,other,0.1495001375768137
1923,other,0.12329306722689076
1924,other,0.14125820146661522
1925,other,0.13944586219467736
1926,other,0.14471544715447154
1927,other,0.14963565497373327
1928,other,0.14474129184984783
1929,other,0.16146016146016146
1930,other,0.1548446917014372
1931,other,0.1605058365758755
1932,other,0.1502225519287834
1933,other,0.1541698546289212
1934,other,0.15614617940199335
1935,other,0.15156118143459915
1936,other,0.1560435931307794
1937,other,0.16821382842509602
1938,other,0.15540852438836744
1939,other,0.15367111650485438
1940,other,0.15189058728881738
1941,other,0.15881147540983606
1942,other,0.15894396551724138
1943,other,0.15884903429247144
1944,other,0.16081290037552462
1945,other,0.1447394689558794
1946,other,0.15300370430020938
1947,other,0.14214092140921408
1948,other,0.14152410575427682
1949,other,0.1419098143236074
1950,other,0.1293710079029988
1951,other,0.13988273303817159
1952,other,0.12873893275903325
1953,other,0.1314527181361352
1954,other,0.15006699419383654
1955,other,0.13999367021837747
1956,other,0.12638247610866532
1957,other,0.13843977364591753
1958,other,0.12901290129012902
1959,other,0.1352082729293515
1960,other,0.12102826121666933
