word,docfreq
said,2299
had,1747
was,1528
eyes,1338
face,1285
went,1233
head,1218
looked,1208
came,1140
hand,1100
knew,1027
took,1021
asked,1017
made,991
turned,962
thought,946
saw,944
told,923
voice,907
hands,898
felt,865
sat,846
was-told,834
come,811
stood,796
began,780
did,777
found,771
was-asked,770
have,768
mind,764
got,762
put,752
gave,745
left,743
heard,712
is,707
spoke,686
go,680
heart,675
see,669
know,666
life,645
wanted,640
lips,638
father,630
cried,629
was-see,627
feet,621
called,618
mother,616
way,616
laughed,615
going,611
arms,600
smiled,588
been,585
answered,582
gone,580
hair,579
do,572
seen,560
held,548
was-tell,537
be,536
replied,532
say,532
seemed,520
tried,517
has,515
added,515
arm,510
kept,503
walked,497
stopped,496
get,486
returned,479
room,478
shook,473
let,469
mouth,468
take,466
own,461
drew,454
look,443
shoulders,442
continued,441
opened,439
brought,432
think,431
back,430
rose,429
done,428
name,419
taken,415
make,415
loved,408
met,407
body,407
started,406
side,403
says,402
whispered,400
moved,398
watched,396
chair,396
read,395
ran,395
want,394
friend,394
words,394
fingers,393
were,392
passed,392
nodded,390
shoulder,389
exclaimed,387
was-saw,386
caught,382
was-left,382
remembered,381
work,379
entered,379
liked,375
set,373
glanced,370
reached,364
home,364
tell,363
was-seen,361
explained,358
followed,351
leaned,350
used,349
broke,348
lay,348
knees,346
was-took,345
thoughts,344
given,344
lived,343
was-met,340
able,339
house,336
was-take,334
cheeks,332
friends,330
dropped,330
stared,330
hat,329
paused,328
neck,328
raised,328
waited,327
threw,326
's,325
looking,324
like,323
listened,320
appeared,320
place,320
wished,318
repeated,318
feel,318
standing,317
eye,317
decided,316
known,316
sent,315
lost,312
give,311
finished,311
sitting,310
fell,310
was-cried,308
ears,306
coming,305
hear,305
was-found,305
find,304
was-followed,304
was-put,303
love,303
wondered,303
realised,298
was-ask,297
pocket,297
was-know,297
throat,295
meant,293
laid,292
stepped,290
remarked,289
spent,287
answer,285
???,285
noticed,284
sighed,284
manner,283
pulled,283
doing,281
glad,277
sure,277
murmured,277
picked,276
teeth,276
breath,276
talked,276
speak,276
presence,275
was-meet,275
lifted,275
understand,273
leave,271
help,269
carried,269
understood,269
was-called,268
was-brought,267
wore,266
forehead,265
expected,265
showed,264
bed,264
received,263
learned,263
return,263
agreed,260
soul,260
hesitated,259
wrote,255
turn,255
time,254
smile,254
was-loved,253
declared,253
care,246
believed,246
cheek,246
was-watched,244
was-had,244
nose,244
legs,243
arrived,243
hoped,242
suggested,241
led,240
slipped,237
thinking,237
insisted,236
part,236
attention,236
promised,234
grew,232
was-got,231
closed,230
refused,230
pushed,230
forgotten,229
breast,228
afraid,228
coat,228
clothes,227
admitted,227
knows,226
was-made,225
was-taken,224
chin,224
was-replied,223
happy,223
silent,223
dress,222
believe,222
was-gone,221
recognised,221
demanded,221
wants,220
forgot,220
tone,219
hurried,218
was-sent,218
flung,218
pointed,217
waiting,217
was-have,216
kissed,216
companion,216
keep,215
managed,215
was-leave,214
figure,214
was-help,210
trying,210
was-led,210
ear,210
position,209
saying,209
shouted,208
talk,206
child,206
was-given,205
talking,205
was-find,204
was-kissed,204
tongue,203
brain,203
pressed,202
making,202
worked,202
gazed,202
slept,200
paid,200
family,199
stay,197
inquired,196
played,195
considered,194
aware,194
right,192
seat,191
observed,191
was-reminded,191
door,191
muttered,190
offered,190
hated,188
ask,187
sprang,187
reply,187
was-knew,187
was-caught,186
jumped,186
dead,185
does,185
stand,185
gasped,185
died,185
ready,185
changed,184
touched,184
announced,183
was-held,182
interrupted,182
needed,181
spoken,181
was-known,181
sleep,180
was-marry,179
watch,179
remained,179
story,178
discovered,178
was-surprised,178
much,178
day,178
appearance,178
handed,177
conscious,176
run,175
was-liked,175
call,174
was-love,174
was-married,174
failed,173
wish,173
try,173
foot,172
years,172
was-struck,172
joined,172
lap,172
stayed,172
was-exclaimed,172
horse,170
case,170
remember,169
finger,169
letter,169
comes,169
feelings,169
protested,168
sank,168
shrugged,167
move,167
was-get,167
cut,167
feeling,167
question,167
was-watching,166
thinks,166
visit,165
bought,165
getting,165
was-hurt,165
sought,164
crossed,164
feared,164
strength,164
was-bring,164
placed,163
glance,163
children,162
was-carried,161
need,161
dared,161
married,161
money,161
bring,160
age,160
struck,160
walk,160
attitude,159
grown,159
was-keep,159
taking,159
intended,158
helped,158
lying,158
master,158
begun,157
accepted,157
good,157
person,157
enjoyed,157
drove,156
gathered,156
sit,156
waved,155
ordered,154
swung,154
bear,154
surprise,153
assured,152
written,152
regarded,152
bowed,152
shut,152
nature,151
sense,150
looks,150
was-turned,150
seem,150
poured,149
lip,149
suffered,148
thrust,147
days,147
death,147
best,147
burst,147
stretched,147
was-telling,147
round,146
knee,146
drank,145
was-answered,145
was-done,145
stop,145
cared,144
recovered,144
gaze,144
interest,143
was-kept,142
won,142
was-assured,141
kind,141
elbow,141
allowed,140
spirit,140
reflected,140
imagined,140
was-pleased,140
youth,140
approached,140
hung,140
chose,140
rushed,140
shot,140
cast,139
forget,139
business,139
was-heard,139
wait,138
guessed,138
blood,138
desire,137
was-drew,137
urged,137
climbed,137
living,136
live,136
close,136
seized,136
goes,136
duty,135
pleased,135
knowledge,135
power,135
features,135
more,134
was-seized,134
rode,134
having,134
use,133
brow,133
sorry,132
chest,132
parents,132
speech,132
tears,132
was-touched,132
flushed,132
settled,132
free,131
skin,131
busy,131
desk,131
memory,131
reminded,131
tired,130
ceased,130
ate,130
breathed,130
was-greeted,129
was-filled,129
hold,129
heels,129
smiling,129
possessed,129
concluded,128
forced,128
was-startled,128
expression,128
watching,128
mean,128
tore,128
marry,128
bit,127
disappeared,127
handkerchief,127
proceeded,127
was-dressed,127
was-let,126
clung,126
share,126
begged,126
was-seeing,126
old,126
book,126
pride,125
playing,125
supposed,125
knelt,124
was-save,124
proud,124
missed,124
beginning,124
will,124
recalled,123
nerves,123
show,122
die,122
retorted,122
was-leaving,122
fallen,122
young,122
interested,122
departure,121
companions,121
plans,121
was-set,121
dreamed,121
stammered,120
anger,120
brows,120
self,120
beauty,120
longed,119
shoes,119
was-lost,119
was-call,119
mentioned,119
pleaded,119
hastened,119
word,118
pockets,118
glass,118
faced,118
imagination,117
was-helped,117
unable,117
arrival,117
was-stopped,117
was-like,116
mood,116
responded,116
notice,116
fond,116
uttered,115
was-gave,115
uncle,115
fought,115
dreams,115
play,114
escape,114
was-used,114
woke,114
leapt,114
character,114
account,114
succeeded,114
bedroom,113
was-urged,113
cap,113
write,113
eyebrows,113
anxious,113
opinion,113
hope,112
was-invited,112
experience,112
company,112
speaking,111
was-send,111
senses,111
was-frightened,111
letters,111
meet,110
shuddered,110
was-engaged,109
was-warned,109
grinned,109
resumed,109
conscience,109
persisted,109
pipe,109
half,108
tossed,108
was-forced,108
was-pushed,108
chuckled,108
absence,108
addressed,107
happiness,107
walking,107
steps,107
was-born,107
first,107
aunt,107
blushed,107
reading,107
window,107
was-give,106
expressed,106
cry,106
working,106
greeted,106
knocked,106
office,106
willing,106
arose,106
was-passed,106
pay,105
fist,105
was-do,105
cousin,105
silence,105
fall,105
guest,105
confessed,104
sleeve,104
was-faced,104
things,104
was-taking,104
was-recognised,104
withdrew,104
was-hear,104
determined,104
was-puzzled,104
admired,104
gets,104
touch,104
efforts,104
temper,103
was-wanted,103
shivered,103
step,103
was-regarded,103
angry,102
studied,102
promise,102
sake,102
arranged,102
laugh,101
bore,101
described,101
was-expected,101
lover,101
noted,101
dragged,101
confidence,101
people,101
straightened,101
desired,101
suspected,101
intention,101
killed,100
telling,100
was-thought,100
career,100
bosom,100
frowned,99
sang,99
fault,99
was-killed,99
ventured,99
was-demanded,99
lit,99
holding,99
was-follow,99
seated,99
one,98
was-inquired,98
strode,98
idea,98
struggled,98
awoke,98
planned,97
start,97
world,97
rubbed,97
was-amused,96
stumbled,96
was-moved,96
prepared,95
grasped,95
thanked,95
change,95
marriage,95
boots,95
stooped,95
was-determined,95
wiped,95
listening,95
state,94
point,94
disliked,94
snatched,94
dressed,94
was-laughed,94
realise,94
health,94
listen,94
was-murmured,94
books,93
invited,93
table,93
beat,93
filled,93
courage,93
wandered,93
was-shook,93
bag,93
follow,93
spread,92
lowered,92
likes,92
was-asking,92
reach,92
needs,92
was-joined,92
lose,92
night,92
was-hated,91
writing,91
passion,91
fear,91
purpose,91
was-whispered,91
guess,91
complained,91
fled,90
success,90
folded,90
was-tired,90
preferred,90
spirits,90
obeyed,90
limbs,89
laughing,89
duties,89
commanded,89
was-thanked,89
habit,89
covered,89
surprised,89
questioned,89
advanced,89
condition,88
was-prepared,88
fate,88
wearing,88
dare,88
lie,88
men,88
alive,88
attempt,88
stirred,88
breakfast,88
content,87
breathing,87
plan,87
trust,87
was-informed,87
was-dragged,87
are,87
makes,86
was-persuade,86
treated,86
leaving,86
was-bound,86
was-allowed,86
picture,86
rolled,86
plate,86
snapped,86
shrank,86
journey,86
shown,86
chosen,86
waist,86
avoided,86
checked,86
delighted,85
decision,85
ashamed,85
chance,85
experienced,85
grief,85
elbows,85
perceived,85
sobbed,85
seems,85
presented,85
was-taught,84
dream,84
vision,84
mounted,84
form,84
was-treated,84
wept,84
fears,84
was-want,84
loves,84
car,84
certain,84
belonged,84
thrown,83
stomach,83
pass,83
was-reached,83
was-please,83
gained,83
remark,83
sight,83
worn,83
warned,83
safe,82
escaped,82
was-lifted,82
assumed,82
produced,82
eyelids,82
plunged,82
visitor,82
crept,82
crying,82
attempted,82
was-interrupted,82
grasp,82
was-troubled,82
cup,82
hurt,81
examined,81
movements,81
stole,81
patted,81
was-concerned,81
acquaintance,81
control,81
happened,81
faith,80
request,80
explain,80
leg,80
sick,80
catch,80
afford,80
saved,80
lives,80
danced,80
full,80
bade,80
was-added,80
kicked,80
offer,80
was-begged,79
collar,79
was-pulled,79
lingered,79
pleasure,79
jaw,79
means,79
rest,79
act,79
existence,79
staring,79
nostrils,79
was-relieved,79
resented,79
affairs,79
counted,79
removed,78
enter,78
gown,78
choice,78
satisfaction,78
was-convinced,78
weakness,78
faltered,78
strolled,78
running,78
takes,78
cleared,78
was-cut,78
troubles,78
being,78
was-seated,77
born,77
better,77
anxiety,77
skirt,77
swept,77
roused,77
send,77
sort,77
was-failed,77
ended,77
imagine,77
course,76
introduced,76
prayed,76
dreaded,76
fists,76
host,76
commented,76
fool,75
drink,75
guests,75
expect,75
was-sat,75
acknowledged,75
suffering,75
fortune,75
ideas,75
hopes,75
pale,75
emerged,75
suit,75
was-driven,75
job,75
remarks,75
mused,75
shared,74
groaned,74
turning,74
pretended,74
consciousness,74
was-amazed,74
was-introduced,74
flesh,74
begin,74
indicated,74
there,74
fixed,74
was-possessed,74
was-stood,74
rang,74
was-looked,73
thing,73
s,73
visited,73
address,73
argued,73
screamed,73
peered,73
was-drove,73
cold,73
surroundings,73
eat,73
jerked,73
shirt,73
wear,73
leaning,72
was-approached,72
learn,72
command,72
box,72
confided,72
was-questioned,72
enemy,72
emotion,72
wrist,72
excitement,72
was-comfort,72
break,72
maid,72
swore,72
conversation,72
was-forgotten,72
fellow,72
giving,72
was-hit,72
acted,71
hid,71
baby,71
putting,71
was-advised,71
eyed,71
carry,71
resolved,71
dismissed,71
was-remarked,71
was-obliged,71
searched,71
was-absorbed,71
trembled,71
proposed,71
manage,70
veins,70
open,70
careful,70
brushed,70
advice,70
future,70
behaviour,70
owed,70
swallowed,70
conduct,70
childhood,70
pillow,70
nothing,70
beautiful,70
was-kill,70
ai,69
locked,69
calls,69
was-showed,69
flew,69
was-said,69
was-shouted,69
was-addressed,69
personality,69
questions,69
was-make,69
something,69
fancied,69
present,69
instinct,68
heel,68
hit,68
shifted,68
strong,68
was-satisfied,68
trouble,68
calm,68
retired,68
taught,68
beard,68
assented,68
risen,68
was-roused,67
released,67
please,67
was-accustomed,67
stuck,67
task,67
stick,67
slid,67
rejoined,67
was-persuaded,67
seeing,67
delight,67
advised,67
suffer,67
was-felt,67
was-hold,67
joy,66
wishes,66
frightened,66
was-explained,66
mad,66
impulse,66
was-annoyed,66
winced,66
appear,66
grateful,66
was-inclined,66
flashed,66
was-stop,66
asking,66
astonishment,66
guard,65
air,65
informed,65
built,65
neighbour,65
was-understand,65
staggered,65
cigarette,65
sold,65
little,65
paced,65
was-received,65
was-began,65
last,65
gripped,65
partner,65
was-placed,65
travelled,65
was-offered,65
was-thank,64
stroked,64
direction,64
taste,64
blew,64
capable,64
emotions,64
study,64
weight,64
was-shocked,64
departed,64
eaten,64
curiosity,64
was-saved,64
rooms,64
party,63
was-affected,63
year,63
frame,63
regretted,63
likely,63
country,63
visits,63
was-blame,63
clasped,63
up,63
was-was,63
attended,63
consented,63
grandfather,63
view,63
hour,63
tea,63
ignored,63
cloak,63
welcomed,62
surveyed,62
was-show,62
maintained,62
was-returned,62
unhappy,62
was-disappointed,62
descended,62
was-welcomed,62
height,62
forgive,62
wits,62
nervous,62
was-come,62
was-disturbed,62
was-did,62
wondering,62
laughter,62
pace,62
objected,62
judgement,62
was-watch,62
sees,61
knife,61
allow,61
pondered,61
was-remember,61
determination,61
buried,61
was-continued,61
wound,61
yielded,61
was-forgive,61
sides,61
tall,61
grunted,61
tells,61
applied,61
ground,60
miss,60
sympathy,60
directed,60
quiet,60
secret,60
was-gasped,60
drawn,60
ignorance,60
footsteps,60
morning,60
was-excited,60
dashed,60
apron,60
ride,60
wrong,60
colour,60
echoed,60
was-astonished,60
drive,60
was-regarding,60
rested,60
was-thrown,59
was-carry,59
was-holding,59
wont,59
gloves,59
trembling,59
now,59
was-shown,59
gazing,59
washed,59
weak,59
twisted,59
broken,59
pen,59
approach,59
eager,58
fail,58
was-alarmed,58
tones,58
doubted,58
pain,58
was-compelled,58
was-retorted,58
occupied,58
object,58
was-understood,58
influence,58
relations,58
cause,58
was-touch,58
yelled,58
different,58
neighbours,58
quick,58
meaning,58
luck,57
behaved,57
confusion,57
honour,57
refuse,57
was-worried,57
was-drawn,57
corner,57
wake,57
fancy,57
impatience,57
finish,57
extended,57
anticipated,57
sniffed,57
persuaded,57
keeps,57
illness,57
consider,57
recognise,57
carrying,57
paper,57
sleeping,56
apartment,56
nails,56
served,56
keeping,56
join,56
save,56
hate,56
smoked,56
peace,56
was-forget,56
pursued,56
cigar,56
clutched,56
path,56
admiration,56
clapped,56
developed,56
kill,56
decide,56
light,56
appeal,56
stated,56
mumbled,56
gun,56
receive,56
comment,55
was-calling,55
was-accompanied,55
action,55
jealous,55
relief,55
owned,55
tapped,55
draw,55
proved,55
enthusiasm,55
rise,55
pictured,55
growing,55
was-facing,55
distress,55
despised,55
lack,55
friendship,55
disappointment,55
cursed,55
ability,55
throw,54
halted,54
accept,54
was-laid,54
was-thrilled,54
summoned,54
lighted,54
class,54
was-greet,54
grandmother,54
was-remembered,54
acquired,54
driven,54
game,54
was-eyed,54
was-hate,54
'd,54
admit,54
failure,54
lot,54
was-prevent,54
ring,54
choked,54
about,54
was-ordered,54
ways,54
yawned,54
was-lead,53
wrapped,53
was-attracted,53
satisfied,53
endure,53
engaged,53
wheeled,53
hostess,53
was-'m,53
dinner,53
continue,53
trousers,53
remain,53
toes,53
was-recognise,53
reason,53
bent,53
birthday,53
riding,53
powers,53
affection,53
temples,53
encountered,52
lungs,52
was-needed,52
vanished,52
lacked,52
was-mean,52
hearing,52
belt,52
was-reassured,52
clever,52
glasses,52
crawled,52
belief,52
was-supposed,52
'll,52
comfort,51
was-awakened,51
food,51
wonder,51
pronounced,51
spend,51
was-helping,51
slip,51
expecting,51
was-draw,51
exchanged,51
entertained,51
was-tempted,51
staying,51
fight,51
was-catch,51
was-impressed,51
crouched,51
was-accompany,51
kiss,51
suspicions,51
worried,50
enjoy,50
was-swept,50
thumb,50
groped,50
rage,50
purse,50
calling,50
was-overwhelmed,50
cabin,50
reported,50
coffee,50
views,50
hungry,50
orders,50
tied,50
entrance,50
was-sought,50
choose,50
was-been,50
trusted,50
end,50
brothers,50
asserted,50
was-beat,49
statement,49
resist,49
enjoying,49
grip,49
clenched,49
meal,49
swayed,49
excused,49
nephew,49
apologised,49
beheld,49
was-meeting,49
resolution,49
was-admired,49
was-served,49
guilty,49
grave,49
eagerness,49
countenance,49
actions,49
slapped,49
ill,49
was-join,49
drop,49
singing,49
employer,49
sleeves,49
borrowed,49
responsible,48
force,48
judged,48
was-confronted,48
education,48
bones,48
favour,48
was-admitted,48
earned,48
sorrow,48
was-paid,48
greeting,48
devotion,48
was-surrounded,48
interests,48
land,48
charge,48
feels,48
freedom,48
passing,48
endured,48
credit,48
dug,48
firm,48
parted,48
drinking,48
scowled,48
bearing,48
rich,47
misery,47
jacket,47
shake,47
whole,47
away,47
moustache,47
following,47
composure,47
unconscious,47
comrades,47
card,47
handsome,47
lied,47
was-reach,47
muscles,47
declined,47
audience,47
denied,47
respect,47
permitted,47
was-fascinated,47
fighting,47
was-noticed,47
grow,47
suggestion,47
avoid,47
was-soothed,46
ease,46
panted,46
raise,46
buy,46
drifted,46
garden,46
was-prevented,46
signed,46
sentence,46
humour,46
nurse,46
was-picked,46
palm,46
displayed,46
was-threw,46
evening,46
mistaken,46
abandoned,46
was-regard,46
train,46
was-considered,46
volunteered,46
older,46
grumbled,46
supper,46
moving,46
was-observed,46
dined,46
note,45
dignity,45
order,45
property,45
darted,45
patience,45
regard,45
was-missed,45
mention,45
lead,45
pulse,45
hugged,45
corrected,45
accompanied,45
fumbled,45
niece,45
aid,45
agitation,45
hours,45
amused,45
was-bored,45
interview,45
was-beaten,44
was-overcome,44
was-remind,44
queried,44
progress,44
was-look,44
moments,44
was-summoned,44
news,44
was-visit,44
carriage,44
experiences,44
worth,44
type,44
past,44
possessions,44
collected,44
committed,44
contemplated,44
convinced,44
spectacles,44
balance,44
was-changed,44
backed,44
bow,44
patient,44
moaned,44
was-answer,44
whistled,44
blinked,44
was-shut,44
growled,43
was-handed,43
marvelled,43
was-kissing,43
custom,43
gift,43
startled,43
horses,43
was-stirred,43
terror,43
overcoat,43
awakened,43
furious,43
was-muttered,43
search,43
sensed,43
sisters,43
message,43
becoming,43
vanity,43
was-drive,43
opportunity,42
heaved,42
scrambled,42
mission,42
adored,42
stare,42
marched,42
worry,42
suspect,42
was-escaped,42
creature,42
selected,42
inability,42
servant,42
triumph,42
painted,42
thankful,42
reputation,42
bedside,42
was-pursued,42
doubts,42
roared,42
secured,42
victim,42
ancestors,42
astonished,42
refusal,42
was-meant,42
post,42
plucked,42
ridden,42
birth,42
was-disturb,42
secretary,41
papers,41
belongings,41
divined,41
referred,41
curls,41
wasted,41
was-terrified,41
folly,41
adopted,41
quarters,41
was-agreed,41
controlled,41
consent,41
bringing,41
inclined,41
stranger,41
appealed,41
bread,41
deal,41
motioned,41
discussed,41
snorted,41
beckoned,41
meeting,41
affair,41
charm,41
strove,41
preparing,41
vowed,41
fashion,41
tale,41
was-queried,41
sons,41
manners,40
'm,40
glared,40
attacked,40
was-treat,40
fed,40
was-keeping,40
was-accused,40
regained,40
conceived,40
encouraged,40
packed,40
palms,40
devoted,40
envied,40
add,40
was-presented,40
ambition,40
prayers,40
dislike,40
clothing,40
claimed,40
agree,40
wrath,40
fire,40
detected,40
was-round,40
effort,40
was-trust,40
was-shaken,40
problem,40
lent,39
clear,39
grace,39
was-receive,39
history,39
energy,39
invitation,39
blurted,39
count,39
wedding,39
flight,39
skirts,39
hailed,39
rising,39
was-haunted,39
hesitate,39
studying,39
relaxed,39
dancing,39
pause,39
delivered,39
was-protect,39
incapable,39
threatened,39
tail,39
believes,39
upset,39
wailed,39
longing,39
tiptoed,39
shy,39
amazement,39
sounded,39
regret,39
service,39
loathed,39
drunk,39
was-preceded,39
was-deserted,39
restless,39
garments,39
sailed,39
dreaming,39
was-smiled,39
saddle,39
lessons,39
stamped,38
slippers,38
opinions,38
engagement,38
faculties,38
spine,38
was-comforted,38
smoothed,38
was-promised,38
embarrassment,38
achieved,38
doubt,38
boot,38
was-lose,38
caused,38
was-encouraged,38
support,38
enough,38
leading,38
win,38
swam,38
possession,38
burden,38
again,38
lids,38
enemies,38
driving,38
eating,38
dog,38
impression,37
was-sighed,37
well,37
chamber,37
grabbed,37
stiffened,37
was-believe,37
suppose,37
hips,37
was-deceived,37
nervousness,37
intentions,37
weeping,37
whip,37
implored,37
impressed,37
deserved,37
poor,37
anything,37
lift,37
was-knocked,37
bad,37
concealed,37
tasted,37
favourite,37
was-fetch,37
skill,37
affected,37
loss,37
moods,37
line,37
appreciated,37
completed,37
struggle,37
trip,37
nice,37
betrayed,37
writes,37
appetite,37
fastened,37
despair,36
was-bringing,36
boat,36
inherited,36
lain,36
veil,36
sword,36
knowing,36
intent,36
fellows,36
was-sending,36
sell,36
was-face,36
squeezed,36
basket,36
services,36
acting,36
was-written,36
sobs,36
surrender,36
pick,36
wrists,36
forefinger,36
errand,36
disappointed,36
demand,36
situation,36
style,36
was-dreamed,36
landed,36
succeed,36
was-turn,36
confession,36
assistance,36
learning,36
sipped,36
was-preferred,36
settle,36
speaks,36
rejoiced,36
was-released,36
cross,36
fired,36
excited,36
dying,36
quoted,36
was-echoed,35
society,35
sewing,35
recall,35
was-aroused,35
was-concerning,35
instructions,35
tucked,35
song,35
was-suggested,35
same,35
approaching,35
image,35
handwriting,35
was-spared,35
ignorant,35
shrieked,35
loneliness,35
subject,35
expense,35
retreat,35
replaced,35
winked,35
shoved,35
relapsed,35
seek,35
lashes,35
purchased,35
long,35
endeavoured,35
seeking,35
discovery,35
was-move,35
reflection,35
was-discovered,35
stupid,35
was-appalled,35
ones,35
hide,35
formed,35
reassured,35
down,35
returning,35
shawl,35
goin,35
welcome,34
strained,34
was-wished,34
was-is,34
annoyed,34
capacity,34
household,34
troubled,34
commenced,34
was-ignored,34
coughed,34
defended,34
braced,34
deny,34
witnessed,34
approve,34
was-reassure,34
embarrassed,34
sneered,34
whisper,34
spare,34
desires,34
was-question,34
fidgeted,34
brains,34
was-responded,34
was-awaited,34
was-finished,34
undressed,34
off,34
unaware,34
was-marrying,34
reverie,34
blouse,34
stir,34
example,34
sobbing,34
sink,34
gives,34
embraced,34
was-strike,34
due,34
hatred,34
sing,34
was-confused,34
hired,34
english,34
was-tied,34
cares,34
knock,34
hurry,34
ankles,34
tie,34
attack,34
breathe,34
was-occupied,34
relatives,34
was-embarrassed,33
was-offended,33
wise,33
giggled,33
was-having,33
was-motioned,33
pull,33
discover,33
tear,33
sensitive,33
lonely,33
understanding,33
was-caused,33
resentment,33
submitted,33
smelled,33
concern,33
gulped,33
was-smote,33
blind,33
jealousy,33
white,33
warmed,33
was-protested,33
was-bore,33
claim,33
was-repeated,33
surrendered,33
shuffled,33
ribs,33
requested,33
blamed,33
was-acquainted,33
thigh,33
approved,33
miserable,33
thanks,33
cousins,33
was-convince,33
shone,33
fingered,33
was-studied,33
fit,33
puzzled,33
gratitude,33
argument,33
fainted,33
was-disliked,33
weary,32
conviction,32
freed,32
dwelled,32
race,32
training,32
honest,32
burned,32
measured,32
using,32
gesture,32
was-accepted,32
quarrelled,32
income,32
was-awaiting,32
horror,32
shadow,32
connexion,32
disgust,32
reward,32
chances,32
pupil,32
relieved,32
pencil,32
annoyance,32
was-ushered,32
bound,32
dance,32
coaxed,32
was-thrust,32
recoiled,32
memories,32
was-charged,32
was-getting,32
was-announced,32
advantage,32
method,32
was-worry,32
acquaintances,32
was-gripped,32
reasons,32
brave,32
profession,32
everything,32
was-carrying,32
was-stung,32
was-covered,32
was-has,32
overheard,32
scolded,32
meals,32
retreated,31
saluted,31
chief,31
lord,31
hates,31
familiar,31
affections,31
sound,31
was-dismissed,31
laboured,31
mastered,31
was-commanded,31
was-addressing,31
fine,31
crushed,31
helpless,31
times,31
bathed,31
jump,31
marked,31
unfolded,31
all,31
was-persisted,31
was-invite,31
response,31
was-fixed,31
resolve,31
struggling,31
impatient,31
sits,31
was-arrested,31
chanced,31
was-depressed,31
language,31
spared,31
burning,31
whirled,31
was-choked,31
gifts,31
was-inspired,31
wit,31
slow,31
ejaculated,31
opponent,31
resisted,31
consulted,31
sauntered,31
talks,31
detested,31
walks,31
circle,31
thin,31
was-embraced,31
short,31
was-pay,31
was-suited,31
was-detained,31
gotten,31
obtained,31
shaken,31
was-run,31
wrung,31
wealth,31
meditated,31
retained,31
entering,31
scorn,31
acceptance,31
bonnet,31
disposal,31
prayer,31
fly,31
tripped,31
busied,31
was-finding,31
complexion,30
activities,30
reckoned,30
invented,30
shaking,30
fill,30
teacher,30
awaited,30
interposed,30
excuse,30
bestowed,30
was-interest,30
daughters,30
was-recalled,30
skull,30
intelligence,30
was-exhausted,30
comfortable,30
re,30
studies,30
week,30
was-leading,30
dipped,30
frock,30
belly,30
resigned,30
was-resolved,30
temperament,30
kneeling,30
mate,30
rescue,30
hinted,30
bulk,30
was-urging,30
turns,30
jaws,30
lodgings,30
telephoned,30
report,30
practised,30
distinguish,30
school,30
curious,30
was-miss,30
cards,30
dismay,30
rocked,30
sped,30
worse,30
arrive,30
was-disgusted,30
was-oppressed,30
kindness,30
genius,30
hotel,30
quit,30
rival,30
approval,30
was-scared,30
was-forgot,29
rifle,29
prided,29
that,29
sex,29
