word,docfreq
said,2255
had,1715
was,1495
eyes,1324
head,1276
face,1260
looked,1234
asked,1125
came,1108
went,1077
took,1050
hand,1040
thought,999
told,990
knew,973
was-told,963
turned,936
got,916
made,916
hands,893
voice,848
saw,831
sat,829
wanted,825
have,812
felt,801
put,773
come,772
did,771
stood,751
left,745
was-asked,743
gave,720
going,705
hair,703
know,679
began,672
mouth,668
mind,667
found,657
mother,657
called,649
heard,647
is,623
smiled,611
see,611
go,610
arms,610
way,605
say,601
body,599
was-see,590
father,588
feet,588
walked,585
kept,585
life,584
was-tell,583
back,579
do,577
arm,572
tried,571
lips,565
stopped,552
let,551
laughed,545
spoke,539
get,530
gone,527
held,515
moved,512
want,511
has,511
seen,510
started,509
been,498
nodded,497
shook,495
be,495
seemed,487
opened,480
fingers,479
look,470
brought,465
shoulders,454
pulled,452
shoulder,452
reached,451
name,444
heart,437
returned,437
used,431
think,430
legs,429
done,428
watched,421
take,421
tell,420
decided,417
says,417
neck,414
was-saw,411
taken,409
ran,407
room,406
make,405
cried,404
picked,404
leaned,401
added,395
remembered,394
read,392
own,392
continued,392
looking,392
stared,385
feel,385
doing,380
liked,379
able,378
answered,374
whispered,373
???,369
followed,366
replied,363
house,363
's,360
were,359
sitting,358
met,356
chair,356
lived,355
realised,353
lay,353
throat,351
wondered,350
hear,348
glanced,347
nose,347
friend,346
caught,340
was-left,339
knees,338
noticed,337
home,337
standing,337
side,335
raised,333
waited,332
was-take,330
set,329
loved,328
stepped,328
wore,328
chest,326
fell,324
was-took,323
finished,322
was-seen,320
pushed,319
explained,317
like,317
sighed,316
lost,315
sure,315
needed,312
breath,311
forehead,310
teeth,307
friends,304
pocket,303
paused,302
worked,302
talked,300
wants,299
shouted,298
words,297
given,297
saying,297
known,296
spent,295
passed,295
threw,293
find,292
was-met,292
drew,292
time,291
was-followed,289
trying,288
shrugged,287
talking,287
bed,286
lifted,286
cheeks,285
was-ask,284
arrived,284
closed,282
agreed,282
sent,282
work,280
give,278
dropped,278
ears,276
pointed,276
thinking,276
answer,276
meant,275
clothes,275
smile,274
wished,272
coming,271
understood,271
chin,270
expected,269
listened,268
was-put,268
eye,268
turn,267
managed,264
understand,264
thoughts,262
hesitated,262
family,261
afraid,259
was-know,259
broke,257
help,257
entered,256
skin,254
was-called,254
stayed,254
was-got,252
waiting,252
led,251
knows,251
learned,251
tongue,250
ear,250
right,249
wearing,249
place,249
attention,249
remember,248
appeared,247
repeated,246
was-gone,245
was-reminded,245
cheek,245
wrote,240
hoped,240
shoes,240
speak,240
leave,239
carried,238
believe,236
love,235
handed,235
was-found,234
watch,233
believed,233
offered,233
suggested,231
was-taken,230
move,229
stomach,229
parents,228
showed,227
died,227
touched,227
rose,226
lap,226
need,224
call,224
insisted,223
bought,223
changed,221
was-brought,221
glass,221
waved,221
talk,218
finger,217
was-kissed,217
keep,216
getting,216
was-find,214
refused,214
happy,214
looks,214
foot,213
child,212
was-surprised,212
promised,211
slipped,211
was-had,211
was-telling,210
recognised,209
car,209
jumped,208
placed,207
was-watching,206
ask,205
hated,205
was-watched,203
door,203
slept,203
presence,202
cut,202
dress,202
dead,200
care,200
office,200
ordered,200
was-meet,199
was-given,199
played,199
feeling,199
stop,199
run,198
was-help,198
aware,198
considered,197
laid,197
glad,197
seat,196
sleep,196
was-led,196
coat,195
was-loved,195
kissed,194
lying,194
paid,194
received,193
lip,193
hung,193
forgotten,193
pressed,192
desk,192
return,192
was-knew,192
imagined,190
climbed,190
ready,190
grabbed,190
stay,189
stand,189
drove,189
walk,189
was-get,188
expression,188
was-leave,187
murmured,186
was-hurt,186
age,185
crossed,185
having,185
waist,183
holding,183
was-sent,183
was-made,182
thinks,182
grinned,181
accepted,181
making,181
breasts,181
was-caught,181
hat,181
part,180
rolled,180
sit,180
enjoyed,178
muttered,177
drank,175
was-known,175
taking,175
poured,174
shirt,174
admitted,174
was-held,173
helped,173
wiped,173
announced,172
was-married,171
try,171
breathing,169
was-liked,169
gaze,169
does,168
studied,168
was-call,167
was-let,167
demanded,167
tone,167
exclaimed,166
ate,166
working,166
approached,165
old,164
snapped,164
begun,163
seem,163
lowered,162
good,162
missed,162
joined,162
woke,161
discovered,160
job,160
bring,159
hurried,159
chose,159
leg,159
feelings,158
grew,158
was-have,157
sense,157
watching,157
wrist,156
intended,155
married,155
was-struck,155
jacket,153
death,153
silent,153
sensed,153
drink,152
fist,152
wait,152
screamed,152
mentioned,151
eyebrows,151
brain,151
bag,151
memory,151
reminded,151
story,150
goes,150
rushed,149
was-hit,149
settled,149
allowed,148
hit,148
gets,147
heels,146
was-seeing,146
lit,146
gazed,146
position,146
walking,145
person,145
was-used,144
was-pulled,143
frowned,143
slid,143
guessed,143
comes,142
bedroom,142
close,142
crying,142
day,142
suspected,142
rubbed,142
shut,141
breast,141
surprise,141
was-love,141
was-wanted,140
knee,140
was-heard,139
hold,138
book,138
was-done,138
staring,137
was-hear,137
case,137
angry,136
hips,136
use,136
swung,136
was-pushed,136
was-killed,136
was-bring,135
busy,135
anger,135
visit,135
smiling,135
figure,135
knocked,135
forced,134
manner,134
was-startled,134
warned,134
struggled,134
beginning,134
protested,133
stretched,133
thighs,132
kicked,132
breathed,132
children,131
feared,131
spoken,131
swallowed,131
live,131
planned,130
forgot,130
straightened,130
removed,129
needs,129
one,129
suit,129
elbow,129
ignored,129
appearance,128
show,127
assumed,127
was-lost,127
years,127
telling,127
gasped,127
imagine,127
question,127
jaw,126
soul,126
remarked,126
reading,125
bear,125
was-kill,125
listening,125
was-pleased,124
struck,124
tears,124
shot,124
window,124
spread,123
knelt,123
sounded,123
cleared,123
features,123
interested,122
was-born,122
gathered,122
palm,122
was-dressed,122
strength,122
touch,122
bit,121
was-stopped,121
checked,121
business,121
tired,120
fallen,120
was-assured,120
remained,120
cup,120
speaking,119
brow,119
was-supposed,119
was-carried,118
die,118
leaving,118
was-like,118
interrupted,118
dressed,118
young,117
disappeared,117
days,117
plate,117
belly,117
slapped,117
was-keep,117
supposed,117
failed,117
observed,116
living,116
assured,116
notice,116
tossed,116
stumbled,116
fear,116
was-leaving,116
fought,116
running,116
was-touched,116
money,116
forget,115
pockets,115
fall,115
introduced,115
table,115
was-cried,115
gotten,115
bowed,115
brushed,114
boots,114
was-forced,114
pleaded,114
written,114
playing,114
likes,114
yelled,114
pleased,114
patted,114
mean,114
apartment,113
start,113
invited,113
was-helped,113
reply,113
kind,113
flesh,112
unable,112
was-invited,112
peered,112
more,111
cigarette,111
sipped,111
was-taking,111
much,111
won,111
covered,111
sank,111
weight,111
was-thought,110
was-turned,110
inquired,110
was-stop,110
sorry,109
was-marry,109
