word,docfreq
said,2264
had,1676
was,1503
eyes,1250
head,1091
face,1070
hand,1057
looked,1053
went,1002
came,958
took,940
knew,920
made,890
thought,872
turned,820
told,816
asked,815
hands,815
saw,789
felt,776
was-told,774
is,740
did,724
voice,722
have,708
mind,704
found,700
got,693
gave,689
was-asked,688
sat,686
father,685
left,685
heard,661
come,659
began,656
stood,648
heart,639
put,633
know,622
life,608
was-see,597
mother,578
spoke,574
lips,559
go,550
replied,548
returned,528
called,528
feet,528
see,524
has,523
arms,523
going,520
way,519
be,509
added,503
seen,501
was-tell,497
say,497
cried,496
do,493
seemed,492
hair,491
continued,485
been,478
held,478
walked,476
arm,475
wanted,471
name,464
smiled,460
friend,458
laughed,447
take,445
answered,444
mouth,443
gone,442
own,434
tried,429
let,428
kept,425
look,422
back,419
room,417
entered,417
stopped,408
shook,405
think,405
done,401
brought,397
started,393
side,389
taken,387
make,387
passed,382
exclaimed,379
was-left,379
get,376
were,375
friends,373
read,369
says,369
eye,367
opened,363
reached,362
moved,362
was-saw,361
was-replied,359
tell,357
loved,356
drew,355
received,351
was-cried,347
chair,347
was-seen,346
ran,343
rose,342
body,342
met,340
set,332
used,331
shoulder,331
words,329
fell,321
shoulders,321
house,321
followed,320
threw,318
whispered,317
appeared,316
raised,316
thoughts,315
lay,315
want,315
wished,314
lived,314
fingers,313
sent,313
able,313
watched,312
paused,309
looking,308
remembered,304
was-take,302
caught,301
lost,298
knees,293
was-took,292
home,289
nodded,287
listened,285
given,285
presence,284
give,282
sitting,281
manner,280
find,280
cheeks,279
love,279
was-met,278
place,278
was-brought,275
waited,275
leaned,274
return,273
was-followed,273
glanced,272
was-found,269
hear,268
's,267
standing,264
liked,263
hat,263
was-know,261
talked,261
answer,260
arrived,257
turn,257
help,257
neck,256
attention,256
learned,256
repeated,254
work,254
knows,252
led,252
was-called,252
time,252
stepped,251
pulled,250
leave,249
seat,248
speak,248
coming,248
feel,248
explained,248
companion,248
was-ask,246
was-exclaimed,245
known,245
was-put,244
like,244
breath,243
believed,240
finished,240
ear,240
feelings,240
understood,240
broke,240
meant,240
part,239
was-meet,238
bed,237
expected,236
forehead,236
wrote,235
hoped,235
family,234
legs,234
doing,233
dropped,233
understand,233
pocket,232
throat,231
showed,231
laid,231
ears,229
stared,228
hesitated,225
carried,224
was-led,224
sure,223
believe,222
cheek,222
teeth,221
noticed,220
tongue,219
sighed,218
wore,218
placed,218
closed,216
observed,215
nose,214
glad,213
picked,212
remarked,211
was-made,210
realised,210
???,209
refused,209
wondered,208
promised,208
child,208
was-gone,208
pointed,206
appearance,206
clothes,205
person,204
spent,204
was-had,204
recognised,203
coat,203
dress,202
was-knew,202
was-loved,201
wants,200
decided,200
remained,200
was-taken,198
smile,197
master,196
considered,196
dead,196
door,196
lifted,196
much,196
soul,196
breast,195
pushed,195
talking,194
agreed,194
murmured,193
was-watched,192
discovered,192
saying,191
was-find,191
position,189
declared,187
joined,187
managed,186
kissed,186
aware,186
right,184
paid,184
wish,183
offered,182
was-struck,182
features,182
care,182
needed,182
gazed,181
hurried,180
keep,180
pressed,179
was-kissed,179
happy,178
afraid,178
thinking,176
forgotten,176
grew,176
approached,175
call,174
horse,174
character,173
was-love,173
shouted,173
was-leave,173
age,173
spoken,172
was-known,172
played,171
foot,171
proceeded,171
slept,171
was-have,170
chin,169
insisted,168
touched,168
looks,168
ready,167
strength,167
was-got,167
comes,167
suggested,166
nature,165
was-surprised,165
finger,165
was-sent,164
thinks,164
changed,164
good,164
brain,164
figure,163
forgot,163
inquired,162
talk,162
sought,162
taking,162
arrival,162
worked,161
stand,161
remember,161
was-given,160
struck,160
bowed,159
tone,159
watch,158
handed,158
silent,158
trying,157
letter,157
suffered,157
accepted,157
visit,156
demanded,155
seized,155
having,155
years,155
was-married,155
written,155
waiting,154
uttered,154
does,154
bosom,154
power,154
cast,153
crossed,153
reply,153
was-get,153
intended,152
feared,152
getting,152
was-held,151
making,151
glass,151
rushed,150
lip,150
was-answered,150
slipped,149
ask,149
story,149
death,149
muttered,149
memory,149
was-bring,148
was-marry,147
was-added,146
was-telling,146
was-seeing,146
walk,146
died,146
lap,146
run,146
jumped,146
resumed,145
recovered,145
was-reminded,144
chest,144
companions,144
stay,144
parents,144
brow,144
married,144
enjoyed,143
was-caught,143
was-carried,142
absence,142
ordered,142
bought,142
was-let,142
day,141
shrugged,141
surprise,141
cut,141
was-done,141
sense,140
tears,140
feeling,140
was-heard,140
countenance,139
departure,139
need,139
expressed,138
was-watching,138
lover,138
bring,138
advanced,138
sit,137
admitted,137
sleep,136
interrupted,136
move,136
desire,136
concluded,136
pleased,135
allowed,135
imagined,135
was-continued,135
regarded,135
was-leaving,134
goes,134
waved,134
resolved,134
was-call,133
flung,132
determined,131
duty,131
seem,130
drove,130
failed,130
chose,130
stayed,130
opinion,130
more,129
stop,129
was-assured,129
possessed,129
case,129
office,128
perceived,127
was-help,127
sank,127
rode,127
live,127
company,126
expression,126
youth,125
mentioned,125
money,125
dared,125
gaze,124
hated,124
retired,124
beauty,124
sprang,124
drank,124
addressed,124
account,124
conduct,124
desk,123
succeeded,123
lying,123
pride,122
was-informed,122
interest,122
senses,121
try,121
children,121
hastened,121
was-born,120
cared,119
use,119
young,119
forget,119
assured,119
spirit,119
bear,119
reading,118
disappeared,118
mean,118
fallen,118
marriage,118
imagination,118
ate,117
was-hurt,117
days,117
shot,117
conscious,117
was-engaged,116
book,116
was-dressed,116
situation,116
reflected,116
smiling,115
walking,115
business,115
wishes,115
protested,115
was-pleased,115
was-seized,114
was-startled,114
helped,114
fate,114
was-determined,114
temper,114
escape,114
proposed,114
hold,114
sorry,114
shoes,113
kind,113
interested,113
old,113
breathed,113
settled,113
form,113
was-touched,112
gasped,112
shut,112
knee,112
blushed,112
shown,112
spirits,112
wait,112
hope,112
skin,112
knowledge,112
announced,112
unable,112
begun,111
purpose,111
word,111
uncle,111
apartment,111
anger,111
table,111
desired,110
was-liked,110
urged,110
was-kept,110
heels,110
was-seated,110
hung,110
show,109
stretched,109
happiness,108
suspected,108
health,108
was-send,108
fond,108
fears,108
question,108
round,108
ventured,108
attitude,107
men,107
blood,107
was-do,107
was-hear,107
prepared,107
first,106
struggled,106
surprised,106
was-drew,106
supposed,106
was-invited,106
was-recognised,106
was-follow,105
won,105
fortune,105
die,105
wearing,105
awoke,105
experience,105
anxious,105
