,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
37218,5273|M.deBlangy,5273,1892,m,"Belot, Adolphe,",Mademoiselle Giraud,m,,1892,m,0
61397,uc1.$b242907|Greensmith,uc1.$b242907,1958,m,"Hastings, Macdonald.",Cork in the doghouse.,m,,1958,m,0
9565,5854|DeBracy,5854,1823,m,"Sir, Scott, Walter,",Ivanhoe;,m,,1823,m,0
56126,mdp.39015019369829|KingCormac,mdp.39015019369829,1947,m,"Wall, Mervyn,",The unfortunate Fursey : | a novel by Mervyn Wall ...,m,,1947,m,0
37866,4953|Rae,4953,1895,m,"Oxley, J. Macdonald (James Macdonald),",In the wilds of the west coast,m,,1895,m,0
61515,mdp.39015073494257|Manderich,mdp.39015073494257,1950,m,"Stegner, Wallace,",The preacher and the slave / | $c: Wallace Stegner.,m,,1950,m,0
17746,5134|Saville,5134,1845,m,"Lister, Charles.",The college chums,m,,1845,m,0
16587,709|Mr.Roscoe,709,1840,m,"Irving, Washington,",The works of Washington Irving,m,,1840,m,0
12117,14857|Blaquiere,14857,1831,m,"Moore, Oliver.",The staff officer,m,,1831,m,0
24784,13692|Colley,13692,1869,m,"Kenealy, Edward Vaughan,",Edward Wortley Montagu,m,,1869,m,0
52922,mdp.39015004928373|Smith,mdp.39015004928373,1936,m,"Buchan, John,",The man from the Norlands.,m,,1936,m,0
33262,8221|MrLammle,8221,1880,m,"Dickens, Charles,",Works,m,,1880,m,0
36571,3106|MrWilson,3106,1895,m,"Marryat, Frederick,",The novels of Captain Marryat,m,,1895,m,0
45316,nyp.33433074927280|Gerald,nyp.33433074927280,1910,m,"Hay, Ian,",The right stuff,m,,1910,m,0
24747,7809|James,7809,1861,m,"Sawyer, Moses H",Lieutenant Colborn,m,,1861,m,0
51921,inu.30000109066260|CanonTucker,inu.30000109066260,1939,m,"Lancaster, Bruce,",Bride of a thousand cedars : | a novel of Bermuda / | $c: by Bruce Lancaster and Lowell Brentano.,m,,1939,m,0
8448,13689|Felton,13689,1824,m,"Smollett, T. (Tobias),","The miscellaneous works of Tobias Smollett, M.D",m,,1824,m,0
69403,mdp.39015050556060|Bernardo,mdp.39015050556060,1974,m,"Angulo, Jaime de.","The lariat, | a novel.",m,,1974,m,0
61218,uc1.b3456983|Kevin,uc1.b3456983,1957,m,"Moore, Brian,",The Feast of Lupercal.,m,,1957,m,0
29204,2859|Wilkins,2859,1874,m,"Lowell, Robert,",Antony Brade,m,,1874,m,0
72191,mdp.39015001086332|FrauKraus,mdp.39015001086332,1981,m,"Tournier, Michel.",Gemini / | $c: Michel Tournier ; translated by Anne Carter.,m,,1981,m,0
21311,8905|Vaughan,8905,1854,m,"Simms, William Gilmore,","Katharine Walton; or, The rebel of Dorchester",m,,1854,m,0
17139,2733|Mr.Stanley,2733,1842,m,"Egan, Pierce,",Paul Jones,m,,1842,m,0
49325,uva.x000875655|Coates,uva.x000875655,1922,m,"Rohmer, Sax,",The green eyes of Bast,m,,1922,m,0
72748,uc1.32106007054353|Gates,uc1.32106007054353,1984,m,"Block, Lawrence.",Like a lamb to slaughter / | $c: Lawrence Block ; with an introduction by Joe Gores.,m,,1984,m,0
24436,14168|Dr.Johns,14168,1867,m,"Hood, Tom,",A golden heart,m,,1867,m,0
