word,docfreq
said,2242
had,1810
was,1522
eyes,1270
face,1145
looked,1122
hand,1117
thought,1057
came,1055
head,1044
went,1040
made,1019
took,1010
felt,996
knew,993
saw,947
mind,903
is,890
heart,888
found,867
father,865
told,851
asked,841
hands,834
mother,831
left,830
turned,816
have,795
was-told,790
heard,783
voice,783
come,781
sat,770
did,769
gave,758
life,752
was-asked,725
spoke,700
was-see,689
know,685
has,679
stood,675
go,662
began,661
put,630
been,619
see,617
be,613
way,613
replied,604
do,596
friend,595
say,592
own,587
lips,583
returned,581
going,576
seen,571
called,566
arms,566
added,565
was-tell,564
arm,555
think,548
seemed,530
got,523
done,522
held,516
room,507
cried,507
take,503
continued,502
feet,502
gone,500
was-left,500
look,498
answered,494
says,494
entered,492
wanted,482
hair,475
friends,475
taken,467
name,466
loved,462
wished,460
make,459
let,458
smiled,447
kept,446
exclaimed,441
read,441
was-replied,439
received,438
brought,438
laughed,433
drew,431
home,431
tried,430
walked,428
was-cried,426
tell,424
was-saw,423
met,422
house,418
started,416
love,410
passed,408
eye,407
were,399
words,399
was-seen,397
opened,397
thoughts,395
give,391
set,391
side,388
shook,386
stopped,383
used,380
return,376
able,374
chair,373
rose,373
liked,373
feel,368
get,364
given,360
followed,359
appeared,357
feelings,357
sent,356
family,353
speak,352
lived,351
caught,350
presence,350
listened,349
mouth,348
shoulder,347
place,347
threw,346
find,346
manner,343
child,343
paused,343
known,342
believed,340
attention,337
watched,337
reached,332
was-take,332
coming,331
back,330
like,329
looking,326
lay,324
was-found,323
remembered,323
leave,322
want,322
hoped,318
fell,317
work,317
shoulders,316
help,315
was-gone,315
looks,314
lost,312
learned,312
fingers,311
soul,309
whispered,308
hear,308
was-met,308
cheek,308
ran,304
wrote,303
was-exclaimed,301
care,301
knows,300
answer,299
much,298
companion,298
sure,297
raised,296
repeated,296
time,296
knees,296
moved,295
wish,295
sitting,294
laid,292
was-brought,291
was-loved,290
promised,288
leaned,287
was-ask,286
bed,285
part,285
was-leave,283
expected,282
was-followed,279
cheeks,279
standing,278
meant,278
neck,277
was-called,276
glanced,274
character,271
waited,270
was-put,269
was-took,269
was-made,266
observed,266
happy,265
led,265
doing,263
sighed,261
letter,260
considered,260
talked,259
ears,259
arrived,258
was-led,257
understand,257
dress,256
power,256
offered,255
ear,255
was-meet,254
was-know,254
person,250
was-have,250
's,249
does,248
carried,247
appearance,246
visit,246
hat,246
seat,245
understood,245
wondered,244
declared,244
glad,244
turn,242
broke,242
nature,240
wore,240
wants,236
spent,235
died,235
dropped,234
forehead,233
body,233
thinks,233
cousin,229
feared,229
bosom,228
conduct,227
marriage,227
hesitated,225
departure,225
master,223
forgot,223
finished,223
death,223
was-find,221
suffered,220
was-taken,220
tone,220
nodded,220
ask,219
lifted,219
placed,219
arrival,219
bear,218
pocket,218
pressed,217
believe,217
aware,217
stay,216
explained,216
grew,216
health,215
countenance,215
throat,214
was-love,214
breath,213
afraid,213
children,213
pulled,212
absence,212
wishes,210
discovered,209
married,209
door,208
remarked,208
was-knew,208
comes,207
good,207
forgotten,207
showed,207
joined,207
silent,207
inquired,206
was-struck,206
proceeded,206
stepped,205
decided,205
was-known,204
spoken,203
noticed,203
pushed,201
was-continued,201
sought,201
was-sent,200
was-had,200
was-given,200
saying,199
talk,199
happiness,198
keep,198
opinion,198
making,197
uncle,197
was-married,197
thinking,196
was-marry,196
strength,195
remained,195
right,194
was-surprised,194
smile,194
refused,194
breast,193
parents,193
horse,193
desired,192
paid,192
watch,191
having,191
gazed,191
expressed,190
duty,190
figure,189
picked,188
days,188
approached,188
ready,187
was-added,187
dead,187
spirits,187
clothes,187
intended,186
spirit,186
was-bring,186
determined,185
uttered,185
closed,185
hopes,185
aunt,184
realised,183
was-leaving,183
changed,183
tears,183
agreed,183
day,182
pointed,181
chose,181
insisted,181
nose,181
was-watched,181
resolved,181
pleased,180
walk,179
kissed,179
account,179
brow,179
hurried,178
taking,178
slept,178
age,178
was-obliged,177
coat,177
stared,176
talking,175
mentioned,175
temper,175
tongue,175
dared,175
was-reminded,174
suggested,174
features,174
reply,174
needed,174
position,173
legs,173
teeth,172
was-telling,172
companions,172
call,172
imagination,172
hated,171
story,170
bowed,170
written,170
sprang,169
bring,169
memory,169
trying,168
was-heard,168
murmured,168
perceived,168
possessed,168
recovered,168
hope,168
live,168
lover,167
was-assured,167
touched,167
remember,167
enjoyed,166
was-seeing,166
was-carried,166
was-done,166
addressed,166
recognised,165
fortune,165
concluded,165
sake,164
chamber,163
accepted,163
demanded,163
anxious,163
waiting,161
forget,161
assured,161
was-help,161
years,161
surprise,160
was-engaged,159
played,159
desire,159
old,159
stand,159
affection,159
feeling,158
letters,158
seized,158
ordered,157
allowed,157
managed,156
sleep,156
foot,156
smiling,155
sit,155
pride,155
situation,154
was-thought,153
fancied,153
seem,152
beheld,152
was-informed,152
intention,152
senses,151
beauty,151
loves,150
begged,150
was-liked,150
was-got,150
supposed,150
fears,150
was-kissed,149
journey,148
was-answered,148
flung,148
imagined,147
promise,147
run,147
conscious,147
rushed,146
more,146
grown,146
youth,146
favour,146
finger,146
request,146
was-inquired,146
hastened,146
cast,145
helped,145
lap,145
crossed,145
stayed,145
brain,145
kind,144
speaking,144
try,144
mean,144
apartment,144
acquaintance,144
self,143
was-held,143
longed,143
goes,143
sense,142
cared,142
was-returned,142
fate,142
fond,142
worked,142
???,142
question,142
need,142
suspected,141
was-born,140
was-watching,140
lip,140
was-call,140
was-drew,140
sorry,140
resumed,139
hold,139
steps,138
object,138
company,138
book,138
fallen,138
shown,138
interest,138
retired,137
die,137
ventured,137
walking,136
likes,136
form,136
getting,136
was-hurt,135
endeavoured,135
was-caught,135
was-pleased,135
handed,135
young,135
was-touched,134
efforts,134
was-accompany,134
knee,134
was-gave,134
knowledge,134
marry,134
was-get,134
experienced,134
plans,133
frame,133
slipped,133
was-like,133
round,133
notice,133
quitted,132
meet,132
anxiety,132
was-determined,132
informed,131
chin,131
interrupted,131
laughing,131
was-thanked,131
means,131
was-let,131
reading,130
shut,130
cut,129
wait,129
drove,128
was-give,128
succeeded,128
table,128
conversation,128
seated,127
taste,127
was-turned,127
was-keep,127
admitted,127
was-send,126
ceased,126
was-taught,126
was-save,126
was-lost,126
escape,126
will,126
grief,126
money,126
was-taking,125
was-follow,125
chosen,125
free,125
was-seated,125
manners,125
was-set,125
lying,125
gaze,124
begun,124
poured,124
reflected,124
proposed,124
advanced,123
bore,123
fall,123
step,123
arose,122
was-received,122
failed,122
affairs,122
was-startled,122
attempted,121
thanked,121
prepared,121
anger,121
was-invited,121
business,120
obeyed,120
move,120
bought,120
half,119
stop,119
muttered,119
use,119
struck,119
share,118
regarded,118
word,118
country,117
blood,117
was-forced,117
was-expected,117
conscience,117
disappeared,116
state,116
delighted,116
hung,116
settled,116
rode,116
enter,115
are,115
breathed,115
allow,115
offer,114
emotion,114
was-accompanied,114
appear,114
beginning,114
sank,114
watching,114
urged,114
carriage,114
passion,114
burst,113
was-addressed,113
seems,113
gathered,113
best,112
was-used,112
existence,111
write,111
was-kept,111
living,111
childhood,111
was-urged,111
window,111
knelt,111
busy,111
pleasure,111
elbow,111
angry,110
willing,110
gained,110
was-persuaded,110
shuddered,110
was-placed,110
acted,110
accompanied,109
wept,109
case,109
was-receive,109
fear,109
was-seized,108
makes,108
speech,108
handkerchief,108
stretched,108
affections,108
announced,108
awoke,108
consent,108
sight,107
shouted,107
presented,107
withdrew,107
show,107
waved,107
expect,107
was-prepared,107
visited,107
glance,107
society,106
confidence,106
dreaded,106
flew,106
was-allowed,106
guessed,106
attended,106
fault,106
touch,106
consented,106
determination,105
first,105
was-do,105
suffer,105
expression,105
judgement,104
shrugged,104
lose,104
charge,104
trusted,104
desk,104
struggled,104
protested,104
purpose,104
was-treated,104
favourite,104
clasped,103
illness,103
powers,103
guest,103
servant,103
was-persuade,102
was-whispered,102
declined,102
was-convinced,102
safe,102
holding,101
bade,101
pillow,101
cause,101
chest,101
consider,101
reach,101
jumped,101
ate,100
proud,100
was-passed,100
won,100
advice,100
joy,100
was-joined,99
tells,99
blushed,99
view,99
glass,99
was-make,99
courage,99
niece,99
was-prevented,99
bit,99
brows,99
silence,99
trust,98
removed,98
treated,98
gets,98
was-hear,98
admired,98
send,98
invited,98
admiration,98
kindness,97
pale,97
gown,97
listen,97
pay,97
preferred,97
heels,97
resolution,97
skin,97
likely,96
doubted,96
taught,96
honour,96
knocked,96
play,96
forced,96
party,96
ideas,96
nephew,96
reminded,96
was-lead,96
visits,96
choice,96
missed,95
obtained,95
was-observed,95
better,95
was-bound,95
disposition,95
experience,95
takes,95
guests,94
was-asking,94
confessed,94
was-did,94
grasp,94
plan,94
receive,94
fancy,94
entrance,94
cap,94
fixed,93
books,93
present,93
formed,93
was-accustomed,93
sorrow,92
grandfather,92
escaped,92
ashamed,92
peace,92
recollected,92
change,92
comfort,92
attitude,92
secret,92
climbed,92
tired,91
address,91
certain,91
office,91
was-approached,91
influence,91
eyebrows,91
suit,91
pass,91
was-considered,91
owed,91
departed,91
residence,91
recalled,91
cup,91
turning,90
stooped,90
views,90
was-wanted,90
was-relieved,90
was-said,90
nerves,90
thrown,89
one,89
behaviour,89
avoided,89
attempt,89
wandered,88
born,88
listening,88
sees,88
dreams,88
fellow,88
calls,88
services,88
dare,88
remain,88
shoes,87
air,87
acknowledged,87
trembled,87
arranged,87
interested,87
was-reached,87
was-forgive,87
described,87
snatched,87
unable,87
lingered,87
bedroom,86
satisfaction,86
was-please,86
requested,86
veins,86
afford,86
was-tired,86
partner,86
content,86
surprised,86
intentions,86
learn,86
duties,86
rest,86
was-prevent,86
rolled,86
maid,86
things,86
idea,85
recovery,85
study,85
leaving,85
belonged,85
was-dressed,85
tore,85
alive,85
attachment,85
command,85
was-inclined,84
persisted,84
was-interrupted,84
was-regarded,84
was-stopped,84
reason,84
needs,84
dreamed,84
movements,84
close,84
giving,84
lives,83
gasped,83
act,83
baby,83
assumed,83
feels,83
was-greeted,83
drank,83
people,83
was-addressing,83
pursued,83
clung,83
was-come,82
was-visit,82
was-filled,82
suffering,82
was-warned,82
was-satisfied,82
agitation,82
assistance,82
pleaded,82
pockets,82
entertained,81
entreated,81
full,81
curiosity,81
was-concerned,81
complained,81
disappointment,81
attentions,81
was-shocked,81
join,81
betrayed,81
success,81
cry,81
sick,81
roused,80
saved,80
gratitude,80
was-join,80
anticipated,80
playing,80
was-roused,80
imagine,80
rested,80
plate,80
follow,80
was-moved,80
telling,80
engaged,80
gives,80
was-induced,79
capable,79
forgive,79
rising,79
descended,79
was-advised,79
leaning,79
little,79
emotions,79
neighbours,79
pronounced,79
friendship,79
shrank,79
writing,79
waist,79
wont,79
sentiments,78
was-inform,78
wonder,78
breakfast,78
dressed,78
bag,78
condition,78
property,78
was-resolved,78
path,78
wound,78
point,78
colour,78
remark,78
engagement,78
was-introduced,78
night,78
was-puzzled,78
sobbed,77
was-understood,77
was-thank,77
checked,77
was-begged,77
loss,77
astonishment,77
folded,77
yielded,77
calm,77
conceived,77
covered,77
birth,77
begin,77
station,76
suppose,76
year,76
grasped,76
studied,76
questions,76
mood,76
history,76
suspicions,76
education,76
open,76
was-rejoined,76
was-killed,76
seek,76
was-affected,76
persuaded,76
working,76
task,76
screamed,75
choose,75
stomach,75
strove,75
impatience,75
grave,75
decision,75
career,75
thrust,75
delight,75
responded,75
daughters,75
prayed,75
purse,75
pen,74
principles,74
was-felt,74
sisters,74
dying,74
was-frightened,74
was-demanded,74
swung,74
