"date","firstpub","author","title","inhathi","htid","gender","othername"
"1890, June 7",1890,"Allen, Richard","Miss Eaton's Romance","y","nyp.33433082171129","m",
1890,1890,"Berry, Edward Payson","Leah of Jerusalem","y","nyp.33433079898247","m",
1890,1890,"Bowyer, James T","The Witch of Jamestown","y","hvd.hw3jai","m",
1890,1890,"Carmarthen, Katherine","A Lover of the Beautiful","y","hvd.hnp4nr","f",
1890,1890,"Haggard, H. Rider","Beatrice","y","hvd.32044037136991","m",
1890,1890,"Hamer, Sarah Selina","Barbara Leybourne","n",,"f",
1890,1890,"Holding, Carlisle B.","Reuben: A Prince in Disguise","n",,"m",
1890,1890,"Howells, W D","The shadow of a dream","y","mdp.39015030750817","m",
1890,1890,"Powell, Ella M","Clio: a child of fate","y","wu.89098003668","f",
1890,1889,"Swan, Annie S","Briar and palm","y","aeu.ark:/13960/t52f8fw48","f",
1890,1890,"Worth, Ellis","A Little Worldling","n",,"f","Ellsworth, Mrs L. C"
"1890, June 14",1887,"Barr, Amelia E","A border shepherdess","y","uva.x030749182","f",
1890,1890,"Calm, Marie","Bella's Blue-Book","y","mdp.39015030174448","f",
1890,1890,"Dallas, Mary Kyle","The devil's anvil","n",,"f",
1890,1890,"Fawcett, Edgar","A daughter of silence","n",,"m",
1890,1890,"Crompton, Frances E","Friday's child","y","chi.087911973","f",
1890,1890,"Harrison, Jennie","Whose fault?","n",,"f",
1890,1890,"Payn, James","The burnt million","y","hvd.hn3a1r","m",
1890,1890,"Sheldon, Mrs Georgie","Trixy; or the shadow of a crime","n",,"f",
1890,1890,"Vaders, Henrietta","Wikkey: a scrap","y","mdp.39015063976933","f","Yam"
"1890, June 21",1890,"Brooks, Ellbridge S","A Son of Issachar","y","hvd.hn1ry9","m",
1890,1890,"James, Henry","The Tragic Muse","y","uiug.30112002876602","m",
1890,1890,"Kirk, Ellen Olney","A daughter of Eve","y","njp.32101068972148","f",
1890,1890,"Rathbone, St George","Doctor Jack: A Novel","y","osu.32435018509760","m",
1890,1890,"Seymour, M. F.","Trovata","n",,"u",
1890,1884,"Tincker, Mary Agnes","The Jewel in the Lotos","y","hvd.hwxu8g","m",
1890,1890,"Weyman, Stanley J","The House of the Wolf","y","uiug.30112056533141","m",
"1890, June 28",1890,"Bellamy, Charles J","A Moment of Madness","y","osu.32435018584623","m",
1890,1890,"Cobban, J M","The Missing Partner","n",,"m",
1890,1890,"Harris, A L","Mine own familiar friend","n",,"u",
1890,1890,"Hucker, Annie M","Nearly lost: a novel","n",,"f",
1890,1890,"Lynch, Lawrence L","The lost witness","n",,"m",
1890,1890,"Robinson, Dr J. H.","The house of silence","n",,"m",
1890,1890,"Todd, Mary Ives","The new Adam and Eve","n",,"f",
1890,1890,"Ashmore, Anne","Beautiful Rienzi","n",,"f","Simpson, J M Mrs"
1890,1890,"Braeme, Charlotte M","A Fiery Ordeal","n",,"f","Clay, Bertha M"
1890,1890,"Butler, Maude M","Adele","n",,"f",
1890,1890,"Bynner, Edwin Lassiter","The Begum's Daughter","y","coo1.ark:/13960/t0ns19s01","m",
1890,1890,"Clarke, F Thickstun","In the valley of Havillah","y","hvd.hx5pkc","m",
1890,1890,"Collins, Mrs E Burke","A Debt of Vengeance","n",,"f",
"1955, Sep 3",1955,"Aran, Rafael","All in the Past","n",,"m",
1955,1955,"Bates, Herbert Ernst","The Valley of Love","n",,"m",
1955,1955,"Berckman, Evelyn","The Beckoning Dream","y","umn.319510016366366","f",
1955,1955,"Bosworth, Allan Rucker","Only the Brave","n",,"m",
1955,1955,"Brace, Gerald Warner","Bell's Landing","y","mdp.39015051350059","m",
1955,1955,"Brown, Wenzell","The Big Rumble","n",,"m",
1955,1955,"Cook, Will","Bullet Range","n",,"m",
1955,1955,"Cooper, Jefferson","Arrow in the Hill","y","uva.x002080153","m","Fox, Gardner F"
1955,1955,"Cord, Barry","Drt Range","n",,"m","Germano, Peter"
1955,1955,"Derby, Mark","The Big Water","y","mdp.39015030739737","m",
