chargender,authgender,date,characters,speaking,agent,mod,patient,poss,total
f,m,1919,3484,607392,138732,10988,29150,79529,258399
m,u,1994,31530,1738040,774261,55982,146659,381423,1358325
f,m,1941,3465,321513,127272,9418,24057,68158,228905
f,u,1843,106,29208,3386,292,1144,3314,8136
u,m,1922,6877,165559,28809,2212,7120,6134,44275
u,m,1931,5696,131359,28639,2074,6760,6062,43535
u,u,1862,175,4217,328,39,107,99,573
m,u,1812,93,11828,1978,191,643,1794,4606
f,m,1827,460,56630,7985,836,2897,8129,19847
f,f,1897,2349,491804,95070,8298,20772,66012,190152
u,u,1980,16341,307474,91189,6011,18055,18711,133966
m,f,1996,15237,1039346,438179,29947,78477,191662,738265
u,u,1977,18486,298560,90807,7054,19675,19386,136922
f,m,1822,239,19170,4443,394,1369,4130,10336
m,f,1810,648,92398,19217,1220,6468,16549,43454
u,m,1967,12082,195338,60916,3951,12219,12571,89657
m,u,1875,433,31829,7589,669,2045,4155,14458
f,m,1954,5831,592159,222037,16138,39756,110826,388757
m,u,2011,31,1795,34,8,23,0,65
f,f,1878,1576,350516,69070,6337,15911,50835,142153
m,m,2014,0,0,0,0,0,0,0
f,u,1866,227,50826,7335,680,1919,5163,15097
m,f,1856,2306,363895,54660,5151,14338,37665,111814
m,f,1990,11046,628777,299240,21483,56009,136880,513612
f,f,1950,3198,431024,175548,12037,28738,86014,302337
f,m,1962,6118,538397,199595,14406,36301,97427,347729
f,m,1922,5360,855916,205889,15906,42429,117766,381990
u,f,1934,2580,36489,10950,985,2717,2529,17181
m,u,1950,20158,1972113,651600,46673,134838,336444,1169555
u,m,1963,10419,149985,51240,3525,10333,9896,74994
f,m,1879,898,174898,34359,2951,8689,23245,69244
f,u,1998,9936,658376,317342,23030,59307,186359,586038
m,u,1869,346,40046,8782,779,2191,6350,18102
f,m,1804,192,15955,3356,289,1093,2979,7717
m,m,1870,3804,625164,95628,7689,26529,60311,190157
u,f,1985,5006,97627,30233,2010,6028,7079,45350
u,f,1967,3234,61344,18836,1275,3581,3462,27154
u,f,1959,2761,78390,20975,1330,3746,4209,30260
u,u,1860,495,36018,2661,240,866,526,4293
m,u,1896,991,116864,20018,1626,4843,10314,36801
u,m,1935,9066,187718,51286,3657,10761,10727,76431
u,m,2003,12460,159887,59261,4013,12393,12946,88613
f,m,1928,4470,462999,161336,12850,34089,90890,299165
m,m,1836,2343,282681,31170,2516,9321,25098,68105
m,m,1908,9065,1377651,286015,20271,61182,147885,515353
u,u,1811,109,8015,581,41,199,89,910
f,m,1868,1133,153679,27827,2607,8313,21256,60003
u,u,2002,16912,280162,85378,5936,16454,20131,127899
f,u,1914,680,121066,22465,1739,5093,14337,43634
m,m,1802,19,1725,460,26,133,483,1102
f,u,1926,5296,559699,184808,15408,40587,114196,354999
f,f,1916,3073,768850,152023,11222,30936,88173,282354
u,m,1821,357,16643,1206,78,374,240,1898
m,m,1992,22441,1265875,592070,39886,102296,266141,1000393
f,u,1991,12487,828593,398947,29619,76882,228516,733964
f,f,2007,8597,808656,441387,28524,71773,240154,781838
f,f,1912,3541,732676,136838,10669,29422,84956,261885
f,m,1963,6154,397771,193078,14036,36614,100256,343984
m,u,1957,19191,1653765,574473,43272,110438,273939,1002122
m,u,1845,414,64725,6385,451,2039,5113,13988
f,f,1976,3730,353440,150449,11500,26999,76398,265346
f,u,1944,3362,300820,112721,8331,20231,62007,203290
u,m,1886,2629,69687,9101,738,2739,2030,14608
m,f,1927,3261,286352,105227,8716,22397,52840,189180
u,u,1857,353,9297,949,94,302,181,1526
f,m,1884,2002,273499,63648,6065,16325,43417,129455
f,f,1955,3427,449043,169205,11093,27535,80500,288333
f,f,1931,2452,308569,121927,9652,23612,69379,224570
f,m,1935,5332,522647,198295,15195,37861,110250,361601
u,m,1928,8193,137796,35226,2646,8547,7554,53973
f,u,1861,155,19089,3277,249,1008,3576,8110
f,f,1887,2305,478432,94035,8735,22284,67857,192911
u,u,1814,27,107,17,1,9,1,28
m,m,1852,4445,667757,89397,7715,25631,63040,185783
u,m,1889,3646,96315,10499,922,3179,2481,17081
u,u,1989,21142,385603,120168,8464,25293,25716,179641
m,m,1915,10735,1568034,327628,22207,71587,162207,583629
f,u,1962,8351,748223,276752,21010,53426,152566,503754
f,f,1856,1494,389974,59110,5207,15229,48627,128173
f,u,1883,227,27428,5008,452,1362,3733,10555
u,f,1897,2381,92600,10660,928,2973,2770,17331
m,m,1901,7090,917167,167481,12392,40726,91973,312572
f,u,1966,7914,669807,271092,20699,52649,156060,500500
u,u,1910,1013,23831,3751,287,867,852,5757
u,u,1825,199,4193,411,51,138,137,737
m,u,1871,575,66096,11473,1085,2854,6951,22363
m,m,1993,24101,1399378,668117,44403,116116,298359,1126995
f,f,1913,3872,814079,162623,11869,34293,100167,308952
f,m,1881,1507,319801,59521,5649,14790,40217,120177
m,f,1878,3031,444157,75177,7038,17601,44538,144354
f,m,1988,6984,538458,249058,16008,42914,131459,439439
u,f,1803,86,2543,418,40,158,110,726
m,m,1849,2575,303557,44770,3719,13138,31530,93157
f,m,1959,5782,550683,199217,13766,34969,100080,348032
u,u,1959,13410,291375,69439,4564,15535,14183,103721
f,m,1921,3988,648934,160318,12658,34570,93343,300889
u,f,1926,1627,27980,7359,570,1891,1546,11366
m,f,1820,654,71915,17838,1513,5397,12577,37325
m,m,1948,16412,1417987,526700,35534,89576,234848,886658
f,f,2000,7283,786618,404944,26835,64994,214197,710970
m,m,1810,575,39430,11788,1074,3799,9320,25981
u,m,1903,3617,97602,13974,1033,3929,2816,21752
u,f,1806,123,7129,1126,64,365,363,1918
u,f,1993,5969,132987,42632,2891,7390,10348,63261
m,f,1880,3155,359021,80315,7041,20621,49895,157872
m,f,1847,1238,152471,21372,1753,6626,16295,46046
m,u,2004,23714,1101806,535885,39105,104249,275101,954340
u,u,1932,8845,220502,45832,2762,10254,9479,68327
u,u,1841,83,1964,208,18,82,53,361
u,m,1870,2055,64304,7496,660,2304,1359,11819
u,m,1882,3029,73812,9673,913,2908,2536,16030
u,u,1997,17894,384482,100818,7193,19974,21756,149741
u,u,1879,703,21023,1811,181,556,327,2875
u,f,1828,170,5477,545,37,199,115,896
f,f,1958,2960,327489,122286,8675,20912,61453,213326
u,u,1873,221,1259,243,41,98,62,444
u,f,1906,2060,67055,9397,751,2295,2299,14742
m,u,1858,1628,210036,30445,2716,7488,19219,59868
f,m,1825,759,119329,15358,1306,5132,15089,36885
u,f,2006,7127,134103,51085,3289,9120,10715,74209
m,u,1973,20999,1075287,512358,38221,102719,258736,912034
f,m,1812,128,13662,1790,140,686,1516,4132
f,u,1933,4925,554602,187586,15569,38525,112185,353865
m,m,2008,19078,1027215,613864,38802,104783,282333,1039782
m,u,1978,24384,1654171,631549,43776,119795,320299,1115419
u,f,1812,201,3465,691,60,286,212,1249
f,u,1968,10402,832515,349559,26248,72039,204611,652457
m,u,1841,203,21885,4491,324,1408,2899,9122
m,m,1960,17807,1391989,542446,36969,94420,234402,908237
f,m,1906,3055,464791,100070,7551,22296,62134,192051
m,m,1973,20706,1342889,603089,39457,100331,277554,1020431
m,u,1987,24104,1178456,555310,40936,105782,273040,975068
m,m,1979,22628,1705246,668653,42507,114325,300716,1126201
u,m,1811,198,6751,494,48,204,117,863
u,m,1980,11506,204271,60528,3888,11963,12886,89265
m,f,1875,3215,424526,91864,7955,22988,55178,177985
m,f,1833,1262,163714,27362,2493,8418,20173,58446
u,u,1967,23543,361776,105310,7528,25788,21983,160609
f,m,2006,7568,462371,268206,18063,45844,141744,473857
u,m,1822,248,7991,512,45,170,114,841
f,m,1923,4479,523361,178104,14201,36801,106179,335285
u,f,1864,1216,42283,4178,378,1328,1021,6905
m,m,1845,2331,351800,45207,3592,13528,32425,94752
m,m,1864,3722,572132,85960,7381,25017,54855,173213
u,f,1862,520,18686,2414,203,691,627,3935
m,m,1917,9373,1255439,281437,19547,58839,141918,501741
f,u,1938,3824,419961,161630,11408,29093,88109,290240
u,f,2014,0,0,0,0,0,0,0
f,f,1973,3669,286029,152080,11358,27365,76416,267219
u,u,1963,16615,369989,92624,6009,19266,18076,135975
f,f,1925,1726,210113,86129,6733,17818,50185,160865
f,u,1952,6118,693218,240221,19292,48999,140542,449054
